artist,title,play_count,mbid
Maggie Rogers,Burning,150,1b94d1e3-4151-4a7a-a816-fe1d49c294cb
orion sun,Lightning,150,f88376f7-b3f0-4529-95f1-d987971e19c9
Samia,Waverly,150,52ffbf30-a620-4d68-b81d-dc5494591501
Tanukichan,Lazy Love,150,5aa41b7c-d001-4b11-be07-b8c30945b751
The Weeknd,Save Your Tears,150,93f4cea3-d42e-460a-9281-033976fea06a
Travi$ Scott,Drugs You Should Try,150,1a08efad-1b5f-46ca-bf2c-44eecaf0a966
Wolf Alice,How Can I Make It OK?,150,16083027-1d33-4e58-958f-c6bf6a615c3d
Wolf Alice,The Last Man on Earth,150,060ca34f-88f6-4f03-bca2-4c33f673ce58
Anderson .Paak,Come Home (feat. André 3000),149,96fc8b47-68cd-49fa-a5d1-84fb2235138d
Bas,Night Job,149,
Childish Gambino,Sober,149,2cf81322-3b51-4bfb-9609-e1aaa8224493
Japanese Breakfast,The Woman That Loves You,149,03c8d58b-833b-4c44-9dd1-317e352dfbca
SZA,Broken Clocks,149,2d4c72dd-4fcb-4f69-b339-41846aa23a39
Tame Impala,On Track,149,19f7f0ef-6b68-4a53-8ae5-a6a645c06c3e
Caroline Rose,Pipe Dreams,148,8a1957b4-0f39-4f84-b678-4e8f8890b771
Faye Webster,In a Good Way,148,e6e896bb-336c-4f5f-b156-e15b8c9d41a4
Japanese Breakfast,Savage Good Boy,148,ab506b58-43d1-486d-8f7f-4240d44d1a74
Vince Staples,Señorita,148,ae587466-54e5-428b-a03f-d110ef85781e
Indigo De Souza,Home Team,147,3847d5b9-5b0c-40d7-aaca-629f0afe8011
Kanye West,Ghost Town,147,79763d3b-141c-4b3c-9743-89306405f9bb
Olivia Rodrigo,drivers license,147,143f1c88-f47f-4f37-b25d-614c74269dea
Snail Mail,Anytime,147,56a8562c-7f1c-4d66-862e-2975cbb1e865
A Tribe Called Quest,Check the Rhime,146,0143d47f-1f2d-3730-90e1-6209468174a0
A Tribe Called Quest,We The People....,146,eb05108a-14c8-4dc8-b3e4-23cec5987e8a
Blue Deputy,New Jersey,146,8512a228-ab4d-4af4-834c-185f6fa7d220
orion sun,Smooth,146,f8161b00-f47e-4694-bcef-e2290ecdef6e
Alvvays,Velveteen,145,2380d820-9ea6-4462-b685-83cc7a96b6e1
Chance the Rapper,Same Drugs,145,a8ecae38-f1e0-4a4c-a424-9c513fe72b74
Extremely Bad Man,"Stay, Pt. II",145,
Joey Bada$$,Waves,145,362f5d22-8689-4615-a399-8f38f178bbcc
orion sun,antidote,145,05002fc5-e32c-437f-b0dc-868053cc9e2d
Samia,Minnesota,145,22c99244-e7f2-4ab6-8f64-91fa953e53fb
SZA,Supermodel,145,066d2648-7467-4447-888b-1d4ec47c23d1
Aminé,DR. WHOEVER,144,3ad90bbf-7bf3-4c0f-860f-f1975d519921
Caroline Rose,Freak Like Me,144,0654959a-2587-42e3-bef6-b4c7ce3990ea
A Tribe Called Quest,Movin Backwards,143,3f53c893-834d-478a-9cba-9c3ac7c86939
Dijon,Nico's Red Truck,143,46d6e7ef-bdee-43ac-8974-78ab0a59348d
Japanese Breakfast,Paprika,143,5cff6af0-e0a1-4c73-9516-52c5859facd0
Lana Del Rey,Born to Die,143,
Prince,Purple Rain,143,44c159ea-c207-3108-9fa2-924df43b9421
Japanese Breakfast,Diving Woman,142,3a5a5d7e-068b-4cae-8421-0292c5da8c95
Lil Baby,Drip Too Hard (Lil Baby & Gunna),142,
Mac DeMarco,My Old Man,142,02ac3595-43a5-49eb-94ee-4bc23eeb8a58
Soccer Mommy,Scorpio Rising,142,9390315a-6ad2-4b6d-83c6-b87f1eda7eb7
SZA,Prom,142,0de31cbe-328a-4d25-a067-a1a9e286daad
The Weeknd,Heartless,142,c3ddb911-0e63-4116-b66b-4d62dfa590ec
Aminé,TOGETHER,141,4ea82182-acd8-426c-b485-a20faaab0d28
Frank Ocean,American Wedding,141,98a6eb3f-7097-3129-aff4-2a869db8651f
Lucy Dacus,Night Shift,141,2f28457a-595b-43ea-8b04-b04d5e5e3dc4
Mac Miller,My Favorite Part,141,31b43803-c0d3-44d6-9447-48505dc8ca6a
Steve Lacy,Dark Red,141,7f586f5c-2c50-4f93-947e-99c8474f6955
Cocteau Twins,Cherry-Coloured Funk,140,1d611371-5fc3-3c3c-9b4d-de3c6d331873
Drake,Jungle,140,256ba86c-042d-4e89-bead-b87d7f633b47
Isaiah Rashad,AA,140,6ec71207-c402-44ed-a5aa-2ea9ececb62c
Mitski,Working for the Knife,140,71230fa2-063d-437c-a075-92b0a66c6915
Noname,Ace,140,
Alvvays,Ones Who Love You,139,007cc65d-a921-44bd-87bf-cd6bfe8f3daf
Dominic Fike,Politics & Violence,139,3ae7394b-8cbd-4bc5-8dd7-783112e34482
Drake,Legend,139,4f784480-5ebb-4202-82ec-18b517532d31
Japanese Breakfast,Road Head,139,0c85e131-50a8-4e2f-94fe-d17858559167
MJ Lenderman,Wristwatch,139,239fd4cc-60c8-4af3-a524-0121d0f46ff5
Buddy,Trouble On Central,138,f19edbb0-3ff1-46d2-9dcd-c051a8bd6610
Drake,With You,138,
Faye Webster,I Know I'm Funny haha,138,46dced63-968a-48e8-9937-bd8cab4e626b
Mitski,Townie,138,14cc1699-768c-440a-b559-fd1301d772e2
Noname,Part of Me,138,
Noname,Self,138,bc1b5767-e8b6-4cac-a48b-cee140aee709
070 Shake,Rocketship,137,432deb0b-db7d-40aa-9fd2-f673f1d6514b
Anderson .Paak,Heart Don't Stand A Chance,137,066cbb62-5b08-4aa7-b62e-857bf2f93484
Caroline Rose,Feel The Way I Want,137,d9c9501c-546a-47a5-8d28-8bd5ca89b47e
Childish Gambino,Retro [Rough],137,06243d86-87d1-44f8-b10a-8a4dd189542e
Indigo De Souza,Smoke,137,133500a3-8b3b-4105-bddb-1f69576d8bbd
John Mayer,Why Georgia,137,9e69e517-cb14-4c08-b951-3d5a3813a8ab
Phoebe Bridgers,Demi Moore,137,e2322538-0778-480e-851f-4e13f09320d3
Prince,It's Gonna Be Lonely,137,052253b6-4949-34ac-a99f-8892c289a7ce
Rejjie Snow,23,137,0f177f5a-3d0c-4048-9073-2d38ae05f1fd
88rising,Midsummer Madness,136,
Alvvays,After The Earthquake,136,e6e2361f-52cd-4628-a550-6e83399df8c0
Frank Ocean,In My Room,136,a0660966-3a5e-4249-8de1-6f4f529270c4
Japanese Breakfast,Planetary Ambience,136,5c3b4eca-621d-4a18-b928-a0c4a3a830c3
Phoebe Bridgers,Funeral,136,529a8095-f750-4427-94f8-ad1495875181
Saba,HEAVEN ALL AROUND ME,136,a98a1bb4-2b57-440f-a7ef-31deb0a13199
Soccer Mommy,circle the drain,136,00e7f342-fd14-4590-8a4d-6eb00cd4000b
"Tyler, The Creator",EARFQUAKE,136,0474bafa-6ecb-4e2b-a4e5-594326f6310d
Caroline Rose,More of the Same,135,843f27cb-5188-4e2f-b077-303da173d447
Japanese Breakfast,Machinist,135,10c3c871-3698-49df-b7d4-d6e438aff7ae
Joey Bada$$,Land of the Free,135,acfad56e-fb55-4f3e-a9cd-200aa1793084
KIDS SEE GHOSTS,Cudi Montage,135,2683b2c3-737a-4e9a-bb4a-838b9179afb4
Saba,Mrs. Whoever,135,d75bc90d-0e5b-44c7-9850-28e9c3e41b56
Tame Impala,Lucidity,135,0d6f2707-7ba2-449d-8709-994c00004e1d
The Weeknd,Call Out My Name,135,2024044c-6d2f-4e45-b57d-7b2065ce3a56
